word,entity
Hernández,PER
Stefan,PER
Daniel,PER
Daniel,PER
Diana,PER
Claudia,PER
Teresa,PER
Eduardo,PER
Alejandro,PER
Eduardo,PER
Eduardo,PER
Pablo,PER
Pablo,PER
Rosa,PER
Alberto,PER
Alberto,PER
Alberto,PER
Eric,PER
Alejandro,PER
Eric,PER
Claudio,PER
Sergio,PER
Elena,PER
Pilar,PER
Pilar,PER
Cristina,PER
María,PER
María,PER
Encar,PER
Alex,PER
Elena,PER
María,PER
Dolores,PER
María,PER
San,PER
Diego,PER
Luisa,PER
María,PER
María,PER
Sil,PER
Anna,PER
Muñoz,PER
Miranda,PER
Miranda,PER
Ramón,PER
Marie,PER
Laura,PER
Marie,PER
Guillermo,PER
Regina,PER
Gabriel,PER
Fernández,PER
Ant,PER
Héctor,PER
Martin,PER
Gloria,PER
Adri,PER
Cristi,PER
Mario,PER
Alicia,PER
Carlos,PER
Claudia,PER
Claudia,PER
Estar Montaña Universidad Internacional Valencia,ORG
Correo,ORG
Facultad Ciencia y Tecnología,ORG
CP,ORG
Universidad Internacional Valencia,ORG
Times,ORG
Ministerio Educación,ORG
Ministerio Educación,ORG
Israel,ORG
Universidad Internacional Valencia EM,ORG
Internacional Valencia,ORG
Universidad Internacional Valencia,ORG
Universidad Internacional Valencia,ORG
Universidad Nacional,ORG
Grupo Planeta,ORG
Universidad Internacional Valencia,ORG
Universidad Internacional Valencia,ORG
Universidad Internacional Valencia,ORG
Universidad Nacional Valencia,ORG
Centro Lengua,ORG
Ministerio,ORG
Universidad Internacional Valencia,ORG
Universidad Internacional Valencia Ministerio Educación,ORG
Entonces,ORG
Universidad Internacional Valencia,ORG
Universidad Internacional Valencia,ORG
Facultad Ingeniería,ORG
Universidad Internacional Valencia,ORG
Universidad Internacional Valencia,ORG
Universidad Internacional Valencia,ORG
Universidad Internacional Valencia,ORG
Ministerio Educación,ORG
Facultad Ingeniería,ORG
Universidad Internacional Valencia,ORG
Ministerio Educación BOE,ORG
Universidad Internacional Valencia,ORG
Ministerio,ORG
Universidad Grupo,ORG
Grupo Planeta,ORG
Unión Europea,ORG
Universidad Internacional Valencia,ORG
Grupo Planeta,ORG
Ministerio Educación,ORG
Ucrania Rusia,ORG
Universidad Internacional Valencia,ORG
Universidad Internacional Valencia,ORG
Centro,ORG
Facultad,ORG
Banco Sabadell,ORG
Universidad Internacional Valencia,ORG
Departamento Prác,ORG
Universidad Internacional Valencia,ORG
Er,ORG
Er,ORG
Centro Lengua,ORG
Er,ORG
Er,ORG
Grupo Planeta,ORG
